unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives,additional_resources
1,Course Introduction,1,Overall Introduction,,,assets/slides/Lecture_1_1.pdf,uW3afz1hQ8g,<p>Geoffrey gives a short introduction to the course covering it's content and structure. He presents the X-Informatics fields (defined values of X) and the Rallying cry of course: Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics ( or e-X). The courses is set up as a MOOC divided into units that vary in length but are typically around an hour and those are further subdivided into 5-15 minute lessons. Geoffrey follows discussion of mechanics of course with a list of all the units offered</p>,
1,Course Introduction,2,Course Topics I,,,assets/slides/Lecture_1_2.pdf,aFsyD6n7mm4,"<p>Geoffrey discusses some of the available units:</br>Motivation: Big Data and the Cloud; Centerpieces of the Future Economy</br>Introduction: What is Big Data, Data Analytics and X-Informatics</br>X= LHC Analysis and Discovery of Higgs particle</br>Technology: Explore Events; histograms and models; basic statistics</br>X= e-Commerce and Lifestyle</br>Technology: Recommender Systems - K-Nearest Neighbors</br>Clustering and heuristic methods</p>",""
1,Course Introduction,3,Course Topics II,,,assets/slides/Lecture_1_3.pdf,9ynbI1yEWgo,"<p>Geoffrey discusses the remainder of the available units:</br>Parallel Computing Overview and familiar examples</br>Cloud Computing Technology for X-Informatics</br>X = Web Search and Text Mining and their technologies</br>Technology for X-Informatics: Kmeans </br>Technology for X-Informatics: MapReduce</br>Technology for X-Informatics: Kmeans and MapReduce Parallelism</br>Technology for X-Informatics: PageRank </br>X = Health</br>X = Sensors</br>X = Radar for Remote Sensing</p>",""
2,"Course Motivation: Big Data and Clouds",1,Introduction,,,assets/slides/Lecture_2_1.pdf,GH3fhb8F9CM,"<p>This presents the overview of talk, some trends in computing and data and jobs. Gartner's emerging technology hype cycle shows many areas of Clouds and Big Data. Geoffrey highlights 6 issues of importance: economic imperative, computing model, research model, Opportunities in advancing computing, Opportunities in X-Informatics, Data Science Education</p>",""
2,"Course Motivation: Big Data and Clouds",2,Data Deluge,,,assets/slides/Lecture_2_2.pdf,y8NZdvaH-IU,"<p>Geoffrey gives some amazing statistics for total storage; uploaded video and uploaded photos; the social media interactions every minute; aspects of the business big data tidal wave; monitors of aircraft engines; the science research data sizes from particle physics to astronomy and earth science; genes sequenced; and finally the long tail of science. The next slide emphasizes applications using algorithms on clouds. This leads to the rallying cry ''Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics educated in data science'' with a catalog of the many values of X ''Astronomy, Biology, Biomedicine, Business, Chemistry, Climate, Crisis, Earth Science, Energy, Environment, Finance, Health, Intelligence, Lifestyle, Marketing, Medicine, Pathology, Policy, Radar, Security, Sensor, Social, Sustainability, Wealth and Wellness''</p>",""
2,Course Motivation: Big Data and Clouds,3,Jobs,,,assets/slides/Lecture_2_3.pdf,P84TBNt_kv8,"<p>Jobs abound in clouds and data science. There are documented shortages in data science, computer science and the major tech companies advertise for new talent.</p>",
2,"Course Motivation: Big Data and Clouds",4,Industrial Trends,,,assets/slides/Lecture_2_4.pdf,TdaitkVI7qk,"<p>Trends include the growing importance of mobile devices and comparative decrease in desktop access, the export of internet content, the change in dominant client operating systems, use of social media, thriving chinese internet companies</p>",""
2,"Course Motivation: Big Data and Clouds",5,"Computing Model: Industry adopted clouds which are attractive for data analytics",,,assets/slides/Lecture_2_5.pdf,TIKWL2tkxAM,"<p>Clouds and Big Data are transformational on a 2-5 year time scale. Already Amazon AWS is a lucrative business with almost a $4B revenue. Geoffrey describes the nature of cloud centers with economies of scale and gives examples of importance of virtualization in server consolidation. Then key characteristics of clouds are reviewed with expected high growth in Infrastructure, Platform and Software as a Service.</p>",""
2,"Course Motivation: Big Data and Clouds",6,"Research Model: 4th Paradigm; From Theory to Data driven science?",,,assets/slides/Lecture_2_6.pdf,-7hABgDO5Iw,"<p>Geoffrey introduces the 4 paradigms of scientific research with the focus on the new fourth data driven methodology.</p>",""
2,"Course Motivation: Big Data and Clouds",7,Data Science Process,,,assets/slides/Lecture_2_7.pdf,-Sw2Kmx9XdUc,"<p>Geoffrey introduces the DIKW data to information to knowledge to wisdom paradigm. Data flows through cloud services transforming itself and emerging as new information to input into other transformations.</p>",""
2,"Course Motivation: Big Data and Clouds",8,"Physics-Informatics Looking for Higgs Particle with Large Hadron Collider LHC",,,assets/slides/Lecture_2_8.pdf,FjmJE2-MqyY,"<p>Geoffrey looks at important particle physics example where the Large hadron Collider has observed the Higgs Boson. He shows this discovery as a bump in a histogram; something that so amazed him 50 years ago that he got a PhD in this field. He left field partly due to the incredible size of author lists on papers</p>",""
2,"Course Motivation: Big Data and Clouds",9,"Recommender Systems I",,,assets/slides/Lecture_2_9.pdf,IjyxClo4bSE,"<p>Many important applications involve matching users, web pages, jobs, movies, books, events etc. These are all optimization problems with recommender systems one important way of performing this optimization. Geoffrey goes through the example of Netflix -- everything is a recommendation and muses about the power of viewing all sorts of things as items in a bag or more abstractly some space with funny properties</p>",""
2,"Course Motivation: Big Data and Clouds",10,"Recommender Systems II",,,assets/slides/Lecture_2_10.pdf,_fW9A0kZGW0,"<p>Many important applications involve matching users, web pages, jobs, movies, books, events etc. These are all optimization problems with recommender systems one important way of performing this optimization. Geoffrey goes through the example of Netflix -- everything is a recommendation and muses about the power of viewing all sorts of things as items in a bag or more abstractly some space with funny properties</p>",""
2,"Course Motivation: Big Data and Clouds",11,"Web Search and Information Retrieva",,,assets/slides/Lecture_2_11.pdf,Nwi7Hxzf6As,"<p>This course also looks at Web Search and here Geoffrey gives an overview of the data analytics for web search, Pagerank as a method of ranking web pages returned and uses material from Yahoo on the subtle algorithms for dynamic personalized choice of material for web pages.</p>",""
2,"Course Motivation: Big Data and Clouds",12,"Cloud Application in Research",,,assets/slides/Lecture_2_12.pdf,gKf2RgwR6sM,"<p>Geoffrey describes scientific applications and how they map onto clouds, supercomputers, grids and high throughput systems. He likes the cloud use of the Internet of Things and gives examples.</p>",""
2,"Course Motivation: Big Data and Clouds",13,"Parallel Computing and MapReduce",,,assets/slides/Lecture_2_13.pdf,r-blNidPQCE,"<p>Geoffrey defines MapReduce and gives a homely example from fruit blending.</p>",""
2,"Course Motivation: Big Data and Clouds",14,"Data Science Education",,,assets/slides/Lecture_2_14.pdf,bbfAv-zhmN0,"<p>Geoffrey discusses one reason you are taking this course -- Data Science as an educational initiative and aspects of its Indiana University implementation. Then general; features of online education are discussed with clear growth spearheaded by MOOC's where Geoffrey uses this course and others as an example. He stresses the choice between one class to 100,000 students or 2,000 classes to 50 students and an online library of MOOC lessons. In olden days he suggested ''hermit's cage virtual university'' -- gurus in isolated caves putting together exciting curricula outside the traditional university model. Grading and mentoring models and important online tools are discussed. Clouds have MOOC's describing them and MOOC's are stored in clouds; a pleasing symmetry.</p>",""
2,"Course Motivation: Big Data and Clouds",15,"Conclusions",,,assets/slides/Lecture_2_15.pdf,Ua0_aaTOpZQ,"<p>The conclusions highlight clouds, data-intensive methodology, employment, data science, MOOC's and never forget the Big Data ecosystem in one sentence ''Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics educated in data science''</p>",""
3,"Part I: Data Science generics and Commercial Data Deluge",1,What is X-Informatics and its Motto,yes,What is X-Informatics and its Motto,assets/slides/Lecture_3_1.pdf,AKkyWF95Fp4,"<p>This discusses trends that are driven by and accompany Big data. We give some key terms including data, information, knowledge, wisdom, data analytics and data science. WE introduce the motto of the course: Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics. We list many values of X you can defined in various activities across the world.</p>",
3,"Part I: Data Science generics and Commercial Data Deluge",2,Jobs,yes,Jobs,assets/slides/Lecture_3_2.pdf,pRlfEigUJAc,<p>Big data is especially important as there are some many related jobs. We illustrate this for both cloud computing and data science from reports by Microsoft and the McKinsey institute respectively. We show a plot from LinkedIn showing rapid increase in the number of data science and analytics jobs as a function of time.</p>,
3,"Part I: Data Science generics and Commercial Data Deluge",3,Data Deluge -- General Structure,yes,General Structure,assets/slides/Lecture_3_3.pdf,RP5ODjCbr4o,<p>We look at some broad features of the data deluge starting with the size of data in various areas especially in science research. We give examples from real world of the importance of big data and illustrate how it is integrated into an enterprise IT architecture. We give some views as to what characterizes Big data and why data science is a science that is needed to interpret all the data.</p>,
3,"Part I: Data Science generics and Commercial Data Deluge",4,Data Science -- Process,yes,Data Science Process,assets/slides/Lecture_3_4.pdf,ydH34L-z0Rk,"<p>We stress the DIKW pipeline: Data becomes information that becomes knowledge and then wisdom, policy and decisions. This pipeline is illustrated with Google maps and we show how complex the ecosystem of data, transformations (filters) and its derived forms is.</p>",
3,"Part I: Data Science generics and Commercial Data Deluge",5,Data Deluge -- Internet,yes,Internet,assets/slides/Lecture_3_5.pdf,rtuq5y2Bx2g,"<p>We give examples of Big data from the Internet with Tweets, uploaded photos and an illustration of the vitality  and size of many commodity applications.</p>",
3,"Part I: Data Science generics and Commercial Data Deluge",6,Data Deluge -- Business I,,,assets/slides/Lecture_3_6.pdf,PJz38t6yn_s,"<p>We give examples including the Big data that enables wind farms, city transportation, telephone operations, machines with health monitors, the banking,  manufacturing and retail industries both online and offline in shopping malls. We give examples from ebay showing how analytics allowing them to refine and improve the customer experiences.</p>",
3,"Part I: Data Science generics and Commercial Data Deluge",7,Data Deluge -- Business II,,,assets/slides/Lecture_3_7.pdf,fESm-2Vox9M,"<p>We give examples including the Big data that enables wind farms, city transportation, telephone operations, machines with health monitors, the banking,  manufacturing and retail industries both online and offline in shopping malls. We give examples from ebay showing how analytics allowing them to refine and improve the customer experiences.</p>",
3,"Part I: Data Science generics and Commercial Data Deluge",8,Data Deluge -- Business III,,,assets/slides/Lecture_3_8.pdf,fcvn-IxPO00,"<p>We give examples including the Big data that enables wind farms, city transportation, telephone operations, machines with health monitors, the banking,  manufacturing and retail industries both online and offline in shopping malls. We give examples from ebay showing how analytics allowing them to refine and improve the customer experiences.</p>",
4,"Part II: Data Deluge and Scientific Applications and Methodology",1,Data Deluge Science & Research I,yes,Science & Research I,assets/slides/Lecture_4_1.pdf,u1h6bAkuWQ8,"<p>We look into more big data examples with a focus on science and research. We give astronomy, genomics, radiology, particle physics and discovery of Higgs particle (Covered in more detail in later lessons), European Bioinformatics Institute and contrast to Facebook and Walmart</p>",
4,"Part II: Data Deluge and Scientific Applications and Methodology",2,Data Deluge Science & Research II,yes,Science & Research II,assets/slides/Lecture_4_2.pdf,_JfcUg2cheg,"<p>We look into more big data examples with a focus on science and research. We give astronomy, genomics, radiology, particle physics and discovery of Higgs particle (Covered in more detail in later lessons), European Bioinformatics Institute and contrast to Facebook and Walmart</p>",
4,"Part II: Data Deluge and Scientific Applications and Methodology",3,Data Deluge Implications for Scientific Method,yes,Implications for Scientific Method,assets/slides/Lecture_4_3.pdf,srEbOAmU_g8,<p>We discuss the emergences of a new fourth methodology for scientific research based on data driven inquiry. We contrast this with third -- computation or simulation based discovery - methodology which emerged itself some 25 years ago.</p>,
4,"Part II: Data Deluge and Scientific Applications and Methodology",4,Data Deluge Long Tail of Science,yes,Long Tail of Science,assets/slides/Lecture_4_4.pdf,dwzEKEGYhqE,<p>There is big science such as particle physics where a single experiment has 3000 people collaborate!.Then there are individual investigators who don't generate a lot of data each but together they add up to Big data.</p>,
4,"Part II: Data Deluge and Scientific Applications and Methodology",5,Data Deluge Internet of Things,yes,Internet of Things,assets/slides/Lecture_4_5.pdf,K2anbyxX48w,"<p>A final category of Big data comes from the Internet of Things where lots of small devices -- smart phones, web cams, video games collect and disseminate data and are controlled and coordinated in the cloud</p>",
5,"Part III: Clouds and Big Data Processing; Data Science Process and Analytics",1,Cloud I,yes,Cloud I,assets/slides/Lecture_5_1.pdf,oj0tDsMQlzU,"<p>We describe cloud data centers with their staggering size with up to a million servers in a single data center and centers built modularly from shipping containers full of racks. The benefits of Clouds in terms of power consumption and the environment are also touched upon, followed by a list of the most critical features of Cloud computing and a comparison to supercomputing.</p>",
5,"Part III: Clouds and Big Data Processing; Data Science Process and Analytics",2,"Cloud II",yes,"Cloud II",assets/slides/Lecture_5_2.pdf,IEy5pOVHeGU,"<p>We describe cloud data centers with their staggering size with up to a million servers in a single data center and centers built modularly from shipping containers full of racks. The benefits of Clouds in terms of power consumption and the environment are also touched upon, followed by a list of the most critical features of Cloud computing and a comparison to supercomputing.</p>",""
5,"Part III: Clouds and Big Data Processing; Data Science Process and Analytics",3,"Features of Data Deluge I",yes,"Features of Data Deluge I",assets/slides/Lecture_5_3.pdf,FMktnTQGyrw,"<p>Data, Information, intelligence algorithms, infrastructure, data structure, semantics and knowledge are related. The semantic web and Big data are compared. We give an example where ''More data usually beats better algorithms''. We discuss examples of intelligent big data and list 8 different types of data deluge</p>",""
5,"Part III: Clouds and Big Data Processing; Data Science Process and Analytics",4,"Features of Data Deluge II",yes,"Features of Data Deluge II",assets/slides/Lecture_5_4.pdf,QNVZobXHiZw,"<p>Data, Information, intelligence algorithms, infrastructure, data structure, semantics and knowledge are related. The semantic web and Big data are compared. We give an example where ''More data usually beats better algorithms''. We discuss examples of intelligent big data and list 8 different types of data deluge</p>",""
5,"Part III: Clouds and Big Data Processing; Data Science Process and Analytics",5,"Big Data Processing",yes,"Big Data Processing",assets/slides/Lecture_5_5.pdf,W2nlfxUPlQg,"<p></p>",""
5,"Part III: Clouds and Big Data Processing; Data Science Process and Analytics",6,Data Science Process,yes,Data Science Process,assets/slides/Lecture_5_6.pdf,zJ5zILSLaM4,<p></p>,
5,"Part III: Clouds and Big Data Processing; Data Science Process and Analytics",7,"Data Analytics I",,"",assets/slides/Lecture_5_7.pdf,RPVojR8jrb8,"<p></p>",""
5,"Part III: Clouds and Big Data Processing; Data Science Process and Analytics",8,"Data Analytics II",,"",assets/slides/Lecture_5_8.pdf,wOSgywqdJDY,"<p></p>",""
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",1,Introduction,,,assets/slides/Lecture_6_1.pdf,26zD62OeiQo,"",""
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",2,"Canopy",,,assets/slides/Lecture_6_2.pdf,x7IQL5YvDwk,"<p>Canopy - Its is an IDE for python developed by EnThoughts. The aim of this IDE is to bring the various python libraries under one single framework or ''Canopy'' - that is why the name.</p>",""
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",3,"Numpy 1",,,assets/slides/Lecture_6_3.pdf,mN_JpGO9Y6s,"<p>NumPy - It is popular library on top of which many other libraries (like pandas, scipy) are built. It provides a way a vectorizing data. This helps to organize in a more intuitive fashion and also helps us use the various matrix operations which are popularly used by the machine learning community.</p>",""
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",4,"Numpy 2",,,assets/slides/Lecture_6_4.pdf,7QfW7AT7UNU,"<p>NumPy - It is popular library on top of which many other libraries (like pandas, scipy) are built. It provides a way a vectorizing data. This helps to organize in a more intuitive fashion and also helps us use the various matrix operations which are popularly used by the machine learning community.</p>",""
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",5,"Numpy 3",,,assets/slides/Lecture_6_5.pdf,Ccb67Q5gpsk,"<p>NumPy - It is popular library on top of which many other libraries (like pandas, scipy) are built. It provides a way a vectorizing data. This helps to organize in a more intuitive fashion and also helps us use the various matrix operations which are popularly used by the machine learning community.</p>",""
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",6,"Matplotlib 1",,,assets/slides/Lecture_6_6.pdf,3UOvB5OmtYE,"<p>Matplotlib: This a data visualization package. It allows you to create graphs charts and other such diagrams. It supports Images in JPEG, GIF, TIFF format.</p>",""
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",7,"Matplotlib 2",,,assets/slides/Lecture_6_7.pdf,9ONSnsN4hcg,"<p>Matplotlib: This a data visualization package. It allows you to create graphs charts and other such diagrams. It supports Images in JPEG, GIF, TIFF format.</p>",""
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",8,"Scipy 1",,,assets/slides/Lecture_6_8.pdf,lpC6Mn-09jY,"<p>SciPy: SciPy is a library built above numpy and has a number of off the shelf algorithms / operations implemented. These include algorithms from calculus(like integration), statistics, linear algebra, image-processing, signal processing, machine learning, etc.</p>",""
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",9,"Scipy 2",,,assets/slides/Lecture_6_9.pdf,-XKBz7qCUqw,"<p>SciPy: SciPy is a library built above numpy and has a number of off the shelf algorithms / operations implemented.  These include algorithms from calculus(like integration), statistics, linear algebra, image-processing, signal processing, machine learning, etc.</p>",""
7,"Physics Case Study I: Looking for Higgs Particles, Bumps in Histograms, Experiments and Accelerators",1,Looking for Higgs Particle and Counting Errors Introduction,yes,Introduction,assets/slides/Lecture_7_1.pdf,6-psXXSDyLs,<p>We return to particle case with slides used in introduction and stress that particles often manifested as bumps in histograms and those bumps need to be large enough to stand out from background in a statistically significant fashion. Experimental physics papers have a staggering number of authors.</p>,
7,"Physics Case Study I: Looking for Higgs Particles, Bumps in Histograms, Experiments and Accelerators",2,Physics-Informatics Looking for Higgs Particle Experiments,yes,Experiments,assets/slides/Lecture_7_2.pdf,5_GfHLUS-IY,"<p>This lesson gives a small picture gallery of accelerators. Accelerators, detection chambers and magnets in tunnels and a large underground laboratory used fpr experiments where you need to be shielded from background like cosmic rays</p>",
8,Physics Case Study II: Looking for Higgs Particles: Python Event Counting for Signal and Background(Python Track),1,Event Counting,yes,,assets/slides/Lecture_8_1.pdf,2dAYOFm1nRY,<p>We define ''event counting'' data collection environments. We discuss the python code to generate events according to a particular scenario (the important idea of Monte Carlo data). Here a sloping background plus either a Higgs particle generated similarly to LHC observation or one observed with better resolution (smaller measurement error). We define useful Python books</p>,
8,"Physics Case Study II: Looking for Higgs Particles: Python Event Counting for Signal and Background(Python Track)",2,"Examples of Event Counting I: With Python examples of Signal plus Background",,"",assets/slides/Lecture_8_2.pdf,y1BVqUcScgI,"<p>This uses Monte Carlo data both to generate data like the experimental observations and explore effect of changing amount of data and changing measurement resolution for Higgs.</p>",""
8,"Physics Case Study II: Looking for Higgs Particles: Python Event Counting for Signal and Background(Python Track)",3,"Examples of Event Counting II: Change shape of background and number of Higgs Particles produced",,"",assets/slides/Lecture_8_3.pdf,bw3fd5cfQhk,"<p>This lesson continues the examination of Monte Carlo data looking at effect of change in number of Higgs particles produced and in change in shape of background</p>",""
9,"Physics Case Study III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions(Python Track)",1,Fundamental Idea: Random Variables,yes,Random Variables,assets/slides/Lecture_9_1.pdf,ov4F1qUuVjE,<p>We define the statistics concept of a random variable</p>,
9,"Physics Case Study III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions(Python Track)",2,"Physics and Random Variables",yes,"Physics and Random Variables",assets/slides/Lecture_9_2.pdf,58hxYlELoA0,"<p>We describe the DIKW pipeline for the analysis of this type of physics experiment and go through details of analysis pipeline for the LHC ATLAS experiment. We give examples of event displays showing the final state particles seen in a few events. We illustrate how physicists decide whats going on with a plot of expected Higgs production experimental cross sections (probabilities) for signal and background.</p>",""
9,"Physics Case Study III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions(Python Track)",3,"Statistics of Events with Normal Distributions I",yes,"Statistics of Events with Normal Distributions I",assets/slides/Lecture_9_3.pdf,xvxOQC_Jm0o,"<p>We introduce Poisson and Binomial distributions and define independent identically distributed (IID) random variables. We give the law of large numbers defining the errors in counting and leading to Gaussian distributions for many things. We demonstrate this in Python experiments</p>",""
