id,type,unit_id,title,release_date,now_available,coding,resources,files,overview,new_overview,doi,total_time
1,U,1,Course Introduction,Available Now,True,,"","","Geoffrey makes an introduction to this course. He talks about the goal of data science, the approach this course takes and the course structure. He first gives a big picture of different sections in this course and later goes to the detail of each section.","<p>Geoffrey gives a short introduction to the course covering it's content and structure. He presents the X-Informatics fields (defined values of X) and the Rallying cry of course: Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics (or e-X). The courses is set up as a MOOC divided into units that vary in length but are typically around an hour and those are further subdivided into 5-15 minute lessons.</p><p>The course covers a mix of applications (the X in X-Informatics) and technologies needed to support the field electronically i.e. to process the application data. The introduction ends with a discussion of course content at highest level.</p><p>The course starts with a longish Motivation unit summarizing clouds and data science, then units describing applications (X = Physics, e-Commerce, Web Search and Text mining, Health, Sensors and Remote Sensing). These are interspersed with discussions of infrastructure (clouds) and data analytics (algorithms like clustering and collaborative filtering used in applications)</p><p>The course uses either Python or Java and there are Side MOOCs discussing Python and Java tracks.</p>","XIBD1_Intro_1v1","33min"
2,U,2,"Course Motivation: Big Data and Clouds",Available Now,True,,"<ul><li><a href='http://www.gartner.com/technology/home.jsp' target='_blank'>http://www.gartner.com/technology/home.jsp</a> and many web links</li><li>Meeker/Wu May 29 2013 Internet Trends D11 Conference <a href='http://www.slideshare.net/kleinerperkins/kpcb-internet-trends-2013' target='_blank'>http://www.slideshare.net/kleinerperkins/kpcb-internet-trends-2013</a></li><li><a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li>Taming The Big Data Tidal Wave: Finding Opportunities in Huge Data Streams with Advanced Analytics, Bill Franks Wiley ISBN: 978-1-118-20878-6</li><li>Bill Ruh <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://www.genome.gov/sequencingcosts/' target='_blank'>http://www.genome.gov/sequencingcosts/</a></li><li>CSTI General Assembly 2012, Washington, D.C., USA Technical Activities Coordinating Committee (TACC) Meeting, Data Management, Cloud Computing and the Long Tail of Science October 2012 Dennis Gannon</li><li><a href='http://www.microsoft.com/en-us/news/features/2012/mar12/03-05CloudComputingJobs.aspx' target='_blank'>http://www.microsoft.com/en-us/news/features/2012/mar12/03-05CloudComputingJobs.aspx</a></li><li><a href='http://www.mckinsey.com/mgi/publications/big_data/index.asp' target='_blank'>http://www.mckinsey.com/mgi/publications/big_data/index.asp</a></li><li>Tom Davenport <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf' target='_blank'>http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf</a></li><li><a href='http://research.microsoft.com/pubs/78813/AJ18_EN.pdf' target='_blank'>http://research.microsoft.com/pubs/78813/AJ18_EN.pdf</a></li><li><a href='http://www.google.com/green/pdfs/google-green-computing.pdf' target='_blank'>http://www.google.com/green/pdfs/google-green-computing.pdf</a></li><li><a href='http://www.wired.com/wired/issue/16-07' target='_blank'>http://www.wired.com/wired/issue/16-07</a></li><li><a href='http://research.microsoft.com/en-us/collaboration/fourthparadigm/' target='_blank'>http://research.microsoft.com/en-us/collaboration/fourthparadigm/</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf</a></li><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf</a></li><li><a href='http://www.interactions.org/cms/?pid=1032811' target='_blank'>http://www.interactions.org/cms/?pid=1032811</a></li><li><a href='http://www.quantumdiaries.org/2012/09/07/why-particle-detectors-need-a-trigger/atlasmgg/' target='_blank'>http://www.quantumdiaries.org/2012/09/07/why-particle-detectors-need-a-trigger/atlasmgg/</a></li><li><a href='http://www.sciencedirect.com/science/article/pii/S037026931200857X' target='_blank'>http://www.sciencedirect.com/science/article/pii/S037026931200857X</a></li><li><a href='http://www.slideshare.net/xamat/building-largescale-realworld-recommender-systems-recsys2012-tutorial' target='_blank'>http://www.slideshare.net/xamat/building-largescale-realworld-recommender-systems-recsys2012-tutorial</a></li><li><a href='http://www.ifi.uzh.ch/ce/teaching/spring2012/16-Recommender-Systems_Slides.pdf' target='_blank'>http://www.ifi.uzh.ch/ce/teaching/spring2012/16-Recommender-Systems_Slides.pdf</a></li><li><a href='http://en.wikipedia.org/wiki/PageRank' target='_blank'>http://en.wikipedia.org/wiki/PageRank</a></li><li><a href='http://pages.cs.wisc.edu/~beechung/icml11-tutorial/' target='_blank'>http://pages.cs.wisc.edu/~beechung/icml11-tutorial/</a></li><li><a href='https://sites.google.com/site/opensourceiotcloud/' target='_blank'>https://sites.google.com/site/opensourceiotcloud/</a></li><li><a href='http://datascience101.wordpress.com/2013/04/13/new-york-times-data-science-articles/' target='_blank'>http://datascience101.wordpress.com/2013/04/13/new-york-times-data-science-articles/</a></li><li><a href='http://blog.coursera.org/post/49750392396/on-the-topic-of-boredom' target='_blank'>http://blog.coursera.org/post/49750392396/on-the-topic-of-boredom</a></li><li><a href='http://x-informatics.appspot.com/course' target='_blank'>http://x-informatics.appspot.com/course</a></li><li><a href='http://iucloudsummerschool.appspot.com/preview' target='_blank'>http://iucloudsummerschool.appspot.com/preview</a></li><li><a href='https://www.youtube.com/watch?v=M3jcSCA9_hM' target='_blank'>https://www.youtube.com/watch?v=M3jcSCA9_hM</a></li></ul>","<ul><li><a href='/assets/files/python_logo.png' target='_blank'>python_logo.png</li><li><a href='/assets/files/python_logo.png' target='_blank'>python_logo.png</a></li></ul>","Geoffrey gives a speech on motivation for studying X-informatics. He talks about industrial trends and data science job demand. To further illustrate the course, he covers several main topics of X-informatics and gives examples from physics informatics to e-commerce. At last he emphasizes data science education and the benefits of using of MOOC.","<p>Geoffrey motivates the study of X-informatics by describing data science and clouds. He starts with striking examples of the data deluge with examples from research, business and the consumer. The growing number of jobs in data science is highlighted. He describes industry trend in both clouds and big data.</p><p>He introduces the cloud computing model developed at amazing speed by industry. The 4 paradigms of scientific research are described with growing importance of data oriented version. He covers 3 major X-informatics areas: Physics, e-Commerce and Web Search followed by a broad discussion of cloud applications. Parallel computing in general and particular features of MapReduce are described. He comments on a data science education and the benefits of using MOOC's.</p>","XIBD1_Motiv_1v1","2h"
3,U,3,"Part I: Data Science generics and Commercial Data Deluge",Available Now,True,,"<ul><li><a href='http://www.microsoft.com/en-us/news/features/2012/mar12/03-05CloudComputingJobs.aspx' target='_blank'>http://www.microsoft.com/en-us/news/features/2012/mar12/03-05CloudComputingJobs.aspx</a></li><li><a href='http://www.mckinsey.com/mgi/publications/big_data/index.asp' target='_blank'>http://www.mckinsey.com/mgi/publications/big_data/index.asp</a></li><li>Tom Davenport <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li>Anjul Bhambhri <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf</a></li><li><a href='http://www.economist.com/node/15579717' target='_blank'>http://www.economist.com/node/15579717</a></li><li><a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li><a href='http://jess3.com/geosocial-universe-2/' target='_blank'>http://jess3.com/geosocial-universe-2/</a></li><li>Bill Ruh<a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://www.hsph.harvard.edu/ncb2011/files/ncb2011-z03-rodriguez.pptx' target='_blank'>http://www.hsph.harvard.edu/ncb2011/files/ncb2011-z03-rodriguez.pptx</a></li><li>Hugh Williams <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li></ul>","","This unit offers a look at the phenomenon described as the Data Deluge. Terms used in the description of Big Data are highlighted, as well as professions that are producing it. With so much data available, it is essential to exercise good judgment in choosing what you really want to turn it into something useful. Finally there is a look at the amount of data coming from Twitter and research into aeronautics.","<p>Geoffrey starts with X-Informatics and its rallying cry. The growing number of jobs in data science is highlighted. This unit offers a look at the phenomenon described as the Data Deluge starting with its broad features. Then he discusses data science and the famous DIKW (Data to Information to Knowledge to Wisdom) pipeline. Then more detail is given on the flood of data from Internet and Industry applications with eBay and General Electric discussed in most detail.</p>","XIBD1_Over_1v1","56min"
4,U,4,"Part II: Data Deluge and Scientific Applications and Methodology",Available Now,True,,"<ul><li><a href='http://www.economist.com/node/15579717' target='_blank'>http://www.economist.com/node/15579717</a></li><li>Geoffrey Fox and Dennis Gannon Using Clouds for Technical Computing To be published in Proceedings of HPC 2012 Conference at Cetraro, Italy June 28 2012 <a href='http://grids.ucs.indiana.edu/ptliupages/publications/Clouds_Technical_Computing_FoxGannonv2.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Clouds_Technical_Computing_FoxGannonv2.pdf</a></li><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf</a></li><li><a href='http://www.genome.gov/sequencingcosts/' target='_blank'>http://www.genome.gov/sequencingcosts/</a></li><li><a href='http://www.quantumdiaries.org/2012/09/07/why-particle-detectors-need-a-trigger/atlasmgg' target='_blank'>http://www.quantumdiaries.org/2012/09/07/why-particle-detectors-need-a-trigger/atlasmgg</a></li><li><a href='http://salsahpc.indiana.edu/dlib/articles/00001935/' target='_blank'>http://salsahpc.indiana.edu/dlib/articles/00001935/</a></li><li><a href='http://en.wikipedia.org/wiki/Simple_linear_regression' target='_blank'>http://en.wikipedia.org/wiki/Simple_linear_regression</a></li><li><a href='http://www.ebi.ac.uk/Information/Brochures/' target='_blank'>http://www.ebi.ac.uk/Information/Brochures/</a></li><li><a href='http://www.wired.com/wired/issue/16-07' target='_blank'>http://www.wired.com/wired/issue/16-07</a></li><li><a href='http://research.microsoft.com/en-us/collaboration/fourthparadigm/' target='_blank'>http://research.microsoft.com/en-us/collaboration/fourthparadigm/</a></li><li>CSTI General Assembly 2012, Washington, D.C., USA Technical Activities Coordinating Committee (TACC) Meeting, Data Management, Cloud Computing and the Long Tail of Science October 2012 Dennis Gannon</li><li><a href='https://sites.google.com/site/opensourceiotcloud/' target='_blank'>https://sites.google.com/site/opensourceiotcloud/</a></li></ul>","","","<p>Geoffrey continues the discussion of the data deluge with a focus on scientific research. He takes a first peek at data from the Large Hadron Collider considered later as physics Informatics and gives some biology examples. He discusses the implication of data for the scientific method which is changing with the data-intensive methodology joining observation, theory and simulation as basic methods.</p><p>We discuss the long tail of sciences; many users with individually modest data adding up to a lot. The last lesson emphasizes how everyday devices -- the Internet of Things -- are being used to create a wealth of data.</p>","XIBD1_Over_2v1","36min"
5,U,5,"Part III: Clouds and Big Data Processing; Data Science Process and Analytics",Available Now,True,,"<ul><li>CSTI General Assembly 2012, Washington, D.C., USA Technical Activities Coordinating Committee (TACC) Meeting, Data Management, Cloud Computing and the Long Tail of Science October 2012 Dennis Gannon</li><li>Dan Reed Roger Barga Dennis Gannon Rich Wolski<a href='http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf' target='_blank'>http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf</a></li><li><a href='http://www.datacenterknowledge.com/archives/2011/05/10/uptime-institute-the-average-pue-is-1-8/' target='_blank'>http://www.datacenterknowledge.com/archives/2011/05/10/uptime-institute-the-average-pue-is-1-8/</a></li><li><a href='http://loosebolts.wordpress.com/2008/12/02/our-vision-for-generation-4-modular-data-centers-one-way-of-getting-it-just-right/' target='_blank'>http://loosebolts.wordpress.com/2008/12/02/our-vision-for-generation-4-modular-data-centers-one-way-of-getting-it-just-right/</a></li><li><a href='http://www.mediafire.com/file/zzqna34282frr2f/koomeydatacenterelectuse2011finalversion.pdf' target='_blank'>http://www.mediafire.com/file/zzqna34282frr2f/koomeydatacenterelectuse2011finalversion.pdf</a></li><li>Bina Ramamurthy <a href='http://www.cse.buffalo.edu/~bina/cse487/fall2011/' target='_blank'>http://www.cse.buffalo.edu/~bina/cse487/fall2011/</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120119berkeley.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120119berkeley.pdf</a></li><li>Anjul Bhambhri <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li>Hugh Williams <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li>Tom Davenport <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://www.mckinsey.com/mgi/publications/big_data/index.asp' target='_blank'>http://www.mckinsey.com/mgi/publications/big_data/index.asp</a></li><li><a href='http://cra.org/ccc/docs/nitrdsymposium/pdfs/keyes.pdf' target='_blank'>http://cra.org/ccc/docs/nitrdsymposium/pdfs/keyes.pdf</a></li></ul>","","Companies like Google, Amazon and Microsoft are relying heavily on huge warehouses of Cloud computing centers to fulfill client needs. The benefits of Clouds in terms of power consumption and the environment are also touched upon, followed by a list of the most worthwhile features of Cloud computing. An illustration is given on how there are aspects involved beyond just improving computer performance, like knowing what data you actually need. Lastly diagrams of how two large businesses structure their data mining setup are compared.","<p>Geoffrey gives an initial technical overview of cloud computing as pioneered by companies like Amazon, Google and Microsoft with new centers holding up to a million servers. The benefits of Clouds in terms of power consumption and the environment are also touched upon, followed by a list of the most critical features of Cloud computing with a comparison to supercomputing.</p><p>He discusses features of the data deluge with a salutary example where more data did better than more thought. Examples are given of end to end systems to process big data. He introduces data science and one part of it -- data analytics -- the large algorithms that crunch the big data to give big wisdom. There are many ways to describe data science and several are discussed to give a good composite picture of this emerging field.</p>","XIBD1_Over_3v1","1h 9min"
